codigo,nome,cidade,estado,populacao,pop_ate9,pop_de10a14,pop_de15a19,pop_de20a24,pop_de25a34,pop_de35a49,pop_de50a59,pop_mais_de60,domicilios_a1,domicilios_a2,domicilios_b1,domicilios_b2,domicilios_c1,domicilios_c2,domicilios_d,domicilios_e,renda_media,faturamento,subprefeitura,regiao_adm,area,idh
3304557060,Abolicao,Rio de Janeiro,RJ,11676.0,1027,483,688,800,1675,2300,1784,2919,0,145,715,1242,1093,758,92,304,2501.0,932515.0,Grande Meier,Meier,61.63,0.857
3304557138,Acari,Rio de Janeiro,RJ,27564.0,5131,2188,2697,2630,4810,5308,2403,2397,0,0,82,506,2040,2490,827,2506,931.0,588833.0,Zona Norte,Pavuna,160.55,0.72
3304557057,Agua Santa,Rio de Janeiro,RJ,9003.0,883,399,597,762,1755,2076,1112,1419,0,96,404,652,644,522,77,254,2391.0,874200.0,Grande Meier,Meier,242.62,0.877
3304557031,Alto Da Boa Vista,Rio de Janeiro,RJ,9606.0,1072,538,660,685,1317,2007,1341,1986,114,178,393,517,945,584,137,286,3727.0,912226.0,Grande Tijuca,Tijuca,3149.57,0.926
3304557125,Anchieta,Rio de Janeiro,RJ,57222.0,7677,3774,4892,4600,8660,12272,7157,8190,0,0,1089,2821,5110,5422,1073,3261,1380.0,553020.0,Zona Norte,Anchieta,434.57,0.788
3304557034,Andarai,Rio de Janeiro,RJ,40476.0,3528,1703,2564,2753,5993,8071,6022,9842,290,1245,3647,3321,3289,2419,304,1059,3443.0,1204467.0,Grande Tijuca,Vila Isabel,226.13,0.909
3304557082,Anil,Rio de Janeiro,RJ,24855.0,2427,1227,1777,1804,3730,5573,3556,4761,355,759,1771,1863,1902,1155,326,424,4283.0,1092081.0,Barra e Jacarepagua,Jacarepagua,350.04,0.911
3304557115,Bancarios,Rio de Janeiro,RJ,12864.0,1532,670,963,1076,2083,2829,1598,2113,0,82,491,750,1313,1177,172,352,1962.0,808554.0,Ilha do Governador,Ilha do Governador,97.8,0.861
3304557099,Bangu,Rio de Janeiro,RJ,249987.0,32651,15949,20926,20146,37750,53090,31246,38229,0,496,5246,13274,24363,22447,4564,11109,1550.0,35465.0,Zona Oeste,Bangu,4570.69,0.794
3304557131,Barra Da Tijuca,Rio de Janeiro,RJ,139761.0,13038,5225,7432,8627,21914,32089,21058,30378,13408,11668,14820,5205,3437,1841,0,3897,18084.0,2915612.0,Barra e Jacarepagua,Barra da Tijuca,4815.06,0.972
