nome,subprefeitura,regiao_adm
Anil,Barra e Jacarepaguá,Jacarepaguá
Curicica,Barra e Jacarepaguá,Jacarepaguá
Freguesia (Jacarepagua),Barra e Jacarepaguá,Jacarepaguá
Gardenia Azul,Barra e Jacarepaguá,Jacarepaguá
Jacarepagua,Barra e Jacarepaguá,Jacarepaguá
Pechincha,Barra e Jacarepaguá,Jacarepaguá
Praca Seca,Barra e Jacarepaguá,Jacarepaguá
Tanque,Barra e Jacarepaguá,Jacarepaguá
Taquara,Barra e Jacarepaguá,Jacarepaguá
Vila Valqueire,Barra e Jacarepaguá,Jacarepaguá
Barra Da Tijuca,Barra e Jacarepaguá,Barra da Tijuca
Camorim,Barra e Jacarepaguá,Barra da Tijuca
Grumari,Barra e Jacarepaguá,Barra da Tijuca
Itanhanga,Barra e Jacarepaguá,Barra da Tijuca
Joa,Barra e Jacarepaguá,Barra da Tijuca
Recreio Dos Bandeirantes,Barra e Jacarepaguá,Barra da Tijuca
Vargem Grande,Barra e Jacarepaguá,Barra da Tijuca
Vargem Pequena,Barra e Jacarepaguá,Barra da Tijuca
Cidade De Deus,Barra e Jacarepaguá,Cidade de Deus
Caju,Centro e Centro Histórico,Portuária
Gamboa,Centro e Centro Histórico,Portuária
Santo Cristo,Centro e Centro Histórico,Portuária
Saude,Centro e Centro Histórico,Portuária
Centro,Centro e Centro Histórico,Centro
Lapa,Centro e Centro Histórico,Centro
Catumbi,Centro e Centro Histórico,Rio Comprido
Cidade Nova,Centro e Centro Histórico,Rio Comprido
Estacio,Centro e Centro Histórico,Rio Comprido
Rio Comprido,Centro e Centro Histórico,Rio Comprido
Santa Teresa,Centro e Centro Histórico,Santa Teresa
Benfica,Centro e Centro Histórico,São Cristóvão
Mangueira,Centro e Centro Histórico,São Cristóvão
Sao Cristovao,Centro e Centro Histórico,São Cristóvão
Vasco Da Gama,Centro e Centro Histórico,São Cristóvão
Paqueta,Centro e Centro Histórico,Ilha de Paquetá
Abolicao,Grande Méier,Méier
Agua Santa,Grande Méier,Méier
Cachambi,Grande Méier,Méier
Encantado,Grande Méier,Méier
Engenho De Dentro,Grande Méier,Méier
Engenho Novo,Grande Méier,Méier
Jacare,Grande Méier,Méier
Lins De Vasconcelos,Grande Méier,Méier
Meier,Grande Méier,Méier
Piedade,Grande Méier,Méier
Pilares,Grande Méier,Méier
Riachuelo,Grande Méier,Méier
Rocha,Grande Méier,Méier
Sampaio,Grande Méier,Méier
Sao Francisco Xavier,Grande Méier,Méier
Todos Os Santos,Grande Méier,Méier
Alto Da Boa Vista,Grande Tijuca,Tijuca
Praca Da Bandeira,Grande Tijuca,Tijuca
Tijuca,Grande Tijuca,Tijuca
Andarai,Grande Tijuca,Vila Isabel
Grajau,Grande Tijuca,Vila Isabel
Maracana,Grande Tijuca,Vila Isabel
Vila Isabel,Grande Tijuca,Vila Isabel
Cidade Universitaria,Ilha do Governador,Ilha do Governador
Bancarios,Ilha do Governador,Ilha do Governador
Cacuia,Ilha do Governador,Ilha do Governador
Cocota,Ilha do Governador,Ilha do Governador
Freguesia (Ilha Do Governador),Ilha do Governador,Ilha do Governador
Galeao,Ilha do Governador,Ilha do Governador
Jardim Carioca,Ilha do Governador,Ilha do Governador
Jardim Guanabara,Ilha do Governador,Ilha do Governador
Monero,Ilha do Governador,Ilha do Governador
Pitangueiras,Ilha do Governador,Ilha do Governador
Portuguesa,Ilha do Governador,Ilha do Governador
Praia Da Bandeira,Ilha do Governador,Ilha do Governador
Ribeira,Ilha do Governador,Ilha do Governador
Taua,Ilha do Governador,Ilha do Governador
Zumbi,Ilha do Governador,Ilha do Governador
Bonsucesso,Zona Norte,Ramos
Manguinhos,Zona Norte,Ramos
Olaria,Zona Norte,Ramos
Ramos,Zona Norte,Ramos
Bras De Pina,Zona Norte,Penha
Penha,Zona Norte,Penha
Penha Circular,Zona Norte,Penha
Del Castilho,Zona Norte,Inhaúma
Engenho Da Rainha,Zona Norte,Inhaúma
Inhauma,Zona Norte,Inhaúma
Higienopolis,Zona Norte,Inhaúma
Maria Da Graca,Zona Norte,Inhaúma
Tomas Coelho,Zona Norte,Inhaúma
Colegio,Zona Norte,Irajá
Iraja,Zona Norte,Irajá
Vicente De Carvalho,Zona Norte,Irajá
Vila Da Penha,Zona Norte,Irajá
Vila Kosmos,Zona Norte,Irajá
Vista Alegre,Zona Norte,Irajá
Bento Ribeiro,Zona Norte,Madureira
Campinho,Zona Norte,Madureira
Cascadura,Zona Norte,Madureira
Cavalcanti,Zona Norte,Madureira
Engenheiro Leal,Zona Norte,Madureira
Honorio Gurgel,Zona Norte,Madureira
Madureira,Zona Norte,Madureira
Marechal Hermes,Zona Norte,Madureira
Oswaldo Cruz,Zona Norte,Madureira
Quintino Bocaiuva,Zona Norte,Madureira
Rocha Miranda,Zona Norte,Madureira
Turiacu,Zona Norte,Madureira
Vaz Lobo,Zona Norte,Madureira
Anchieta,Zona Norte,Anchieta
Guadalupe,Zona Norte,Anchieta
Parque Anchieta,Zona Norte,Anchieta
Ricardo De Albuquerque,Zona Norte,Anchieta
Acari,Zona Norte,Pavuna
Barros Filho,Zona Norte,Pavuna
Coelho Neto,Zona Norte,Pavuna
Costa Barros,Zona Norte,Pavuna
Parque Columbia,Zona Norte,Pavuna
Pavuna,Zona Norte,Pavuna
Jacarezinho,Zona Norte,Jacarezinho
Complexo Do Alemao,Zona Norte,Complexo do Alemão
Mare,Zona Norte,Maré
Cordovil,Zona Norte,Vigário Geral
Jardim America,Zona Norte,Vigário Geral
Parada De Lucas,Zona Norte,Vigário Geral
Vigario Geral,Zona Norte,Vigário Geral
Bangu,Zona Oeste,Bangu
Gericino,Zona Oeste,Bangu
Jabour,Zona Oeste,Bangu
Padre Miguel,Zona Oeste,Bangu
Senador Camara,Zona Oeste,Bangu
Vila Kennedy,Zona Oeste,Bangu
Campo Grande,Zona Oeste,Campo Grande
Cosmos,Zona Oeste,Campo Grande
Inhoaiba,Zona Oeste,Campo Grande
Santissimo,Zona Oeste,Campo Grande
Senador Vasconcelos,Zona Oeste,Campo Grande
Paciencia,Zona Oeste,Santa Cruz
Santa Cruz,Zona Oeste,Santa Cruz
Sepetiba,Zona Oeste,Santa Cruz
Barra De Guaratiba,Zona Oeste,Guaratiba
Guaratiba,Zona Oeste,Guaratiba
Pedra De Guaratiba,Zona Oeste,Guaratiba
Campo Dos Afonsos,Zona Oeste,Realengo
Deodoro,Zona Oeste,Realengo
Jardim Sulacap,Zona Oeste,Realengo
Magalhaes Bastos,Zona Oeste,Realengo
Realengo,Zona Oeste,Realengo
Vila Militar,Zona Oeste,Realengo
Botafogo,Zona Sul,Botafogo
Catete,Zona Sul,Botafogo
Cosme Velho,Zona Sul,Botafogo
Flamengo,Zona Sul,Botafogo
Gloria,Zona Sul,Botafogo
Humaita,Zona Sul,Botafogo
Laranjeiras,Zona Sul,Botafogo
Urca,Zona Sul,Botafogo
Copacabana,Zona Sul,Copacabana
Leme,Zona Sul,Copacabana
Gavea,Zona Sul,Lagoa
Ipanema,Zona Sul,Lagoa
Jardim Botanico,Zona Sul,Lagoa
Lagoa,Zona Sul,Lagoa
Leblon,Zona Sul,Lagoa
Sao Conrado,Zona Sul,Lagoa
Vidigal,Zona Sul,Lagoa
Rocinha,Zona Sul,Rocinha
